review_id,user_id,business_id,stars,suspicious_score_v2,hybrid_score,hybrid_label,agentic_action
fWKvX83p0-ka4JS3dc6E5A,rLtl8ZkDX5vH5nAx9C3q5Q,9yKzy9PApeiPPOUJEtnvkg,5,1,0.5,0,No action
IjZ33sJrzXqU-0X6U8NwyA,0a2KyEL0d3Yb1V6aivbIuQ,ZRJwVLyzEJq1VAihDhYiow,5,2,1.5,2,Hide review & alert moderator
IESLBzqUCLdSzSqm0eCSxQ,0hT2KtfLiobPvh6cDC8JQg,6oRAC4uyJCsJl1X0WZpVSA,4,0,0.0,0,No action
G-WvGaISbqqaMHlNnByodA,uZetl9T0NcROGOyFfughhg,_1QQZuf4zZOyFCvXc0o6Vg,5,1,0.5,0,No action
1uJFq2r5QfJG_6ExMRCaGw,vYmM4KTsC8ZfQBg-j5MWkw,6ozycU1RpktNG2-1BroVtw,5,2,1.5,2,Hide review & alert moderator
m2CKSsepBCoRYWxiRUsxAg,sqYN3lNgvPbPCTRsMFu27g,#NAME?,4,0,0.0,0,No action
riFQ3vxNpP4rWLk_CSri2A,wFweIWhv2fREZV_dYkz_1g,zp713qNhx8d9KCJJnrw1xA,5,1,0.5,0,No action
JL7GXJ9u4YMx7Rzs05NfiQ,1ieuYcKS7zeAv_U15AB13A,hW0Ne_HTHEAgGF1rAdmR-g,4,0,0.0,0,No action
XtnfnYmnJYi71yIuGsXIUA,Vh_DlizgGhSqQh4qfZ2h6A,wNUea3IXZWD63bbOQaOH-g,4,1,0.5,0,No action
jJAIXA46pU1swYyRCdfXtQ,sUNkXg8-KFtCMQDV6zRzQg,nMHhuYan8e3cONo3PornJA,5,1,0.5,0,No action
E11jzpKz9Kw5K7fuARWfRw,#NAME?,AsSCv0q_BWqIe3mX2JqsOQ,5,1,0.5,0,No action
3rPt0LxF7rgmEUrznoH22w,C1rHp3dmepNea7XiouwB6Q,e9nN4XxjdHj4qtKCOPq_vg,5,1,0.5,0,No action
cGnKNX3I9rthE0-TH24-qA,UPtysDF6cUDUxq2KY-6Dcg,h53YuCiIDfEFSJCQpk8v1g,5,1,0.5,0,No action
FvEEw1_OsrYdvwLV5Hrliw,Xm8HXE1JHqscXe5BKf0GFQ,WGNIYMeXPyoWav1APUq7jA,4,0,0.0,0,No action
pfUwBKYYmUXeiwrhDluQcw,JOG-4G4e8ae3lx_szHtR8g,yc5AH9H71xJidA_J2mChLA,4,0,0.0,0,No action
HvqmdqWcerVWO3Gs6zbrOw,ylWOj2y7TV2e3yYeWhu2QA,Vb9FPCEL6Ly24PNxLBaAFw,2,0,0.0,0,No action
HXP_0Ul-FCmA4f-k9CqvaQ,SBbftLzfYYKItOMFwOTIJg,supigcPNO9IKo6olaTNV-g,3,0,0.0,0,No action
j4SIzrIy0WrmW4yr4--Khg,u1KWcbPMvXFEEYkZZ0Yktg,O510Re68mOy9dU490JTKCg,5,2,1.5,2,Hide review & alert moderator
v0cTd3PNpYCkTyGKSpOfGA,UsULgP4bKA8RMzs8dQzcsA,b5cEoKR8iQliq-yT2_O0LQ,3,0,0.0,0,No action
